 ,Area,Min,Max,Slice
929,288,255,255,1
930,322,255,255,1
931,424,255,255,1
932,241,255,255,1
933,237,255,255,1
934,119,255,255,1
935,283,255,255,1
936,300,255,255,1
937,319,255,255,1
938,247,255,255,1
939,274,255,255,1
940,345,255,255,1
941,184,255,255,1
942,496,255,255,1
943,290,255,255,1
944,278,255,255,1
945,212,255,255,1
946,416,255,255,1
947,299,255,255,1
948,296,255,255,1
949,207,255,255,1
950,264,255,255,1
951,280,255,255,1
952,179,255,255,1
953,325,255,255,1
954,269,255,255,1
955,299,255,255,1
956,500,255,255,1
957,368,255,255,1
958,134,255,255,1
959,462,255,255,1
960,381,255,255,1
961,272,255,255,1
962,230,255,255,1
963,425,255,255,1
964,456,255,255,1
965,358,255,255,1
966,408,255,255,1
967,152,255,255,1
968,495,255,255,1
969,362,255,255,1
970,294,255,255,1
971,254,255,255,1
972,238,255,255,1
973,381,255,255,1
974,490,255,255,1
975,251,255,255,1
976,193,255,255,1
977,248,255,255,1
978,276,255,255,1
979,265,255,255,1
980,488,255,255,1
981,48,255,255,1
982,326,255,255,1
983,412,255,255,1
984,361,255,255,1
985,252,255,255,1
986,305,255,255,1
987,320,255,255,1
988,274,255,255,1
989,278,255,255,1
990,355,255,255,1
991,323,255,255,1
992,312,255,255,1
993,371,255,255,1
994,355,255,255,1
995,453,255,255,1
996,414,255,255,1
997,350,255,255,1
998,265,255,255,1
999,273,255,255,1
1000,305,255,255,1
1001,276,255,255,1
1002,349,255,255,1
1003,317,255,255,1
1004,272,255,255,1
1005,255,255,255,1
1006,266,255,255,1
1007,300,255,255,1
1008,280,255,255,1
1009,280,255,255,1
1010,303,255,255,1
1011,273,255,255,1
1012,294,255,255,1
1013,277,255,255,1
1014,282,255,255,1
1015,257,255,255,1
1016,252,255,255,1
1017,286,255,255,1
1018,269,255,255,1
1019,361,255,255,1
1020,263,255,255,1
1021,270,255,255,1
1022,440,255,255,1
1023,407,255,255,1
1024,54,255,255,1
1025,315,255,255,1
1026,379,255,255,1
1027,264,255,255,1
1028,442,255,255,1
1029,404,255,255,1
1030,293,255,255,1
1031,363,255,255,1
1032,230,255,255,1
1033,283,255,255,1
1034,304,255,255,1
1035,483,255,255,1
1036,370,255,255,1
1037,315,255,255,1
1038,291,255,255,1
1039,278,255,255,1
1040,271,255,255,1
1041,357,255,255,1
1042,283,255,255,1
1043,289,255,255,1
1044,307,255,255,1
1045,271,255,255,1
1046,348,255,255,1
1047,408,255,255,1
1048,285,255,255,1
1049,262,255,255,1
1050,368,255,255,1
1051,300,255,255,1
1052,275,255,255,1
1053,280,255,255,1
1054,255,255,255,1
1055,214,255,255,1
1056,252,255,255,1
1057,305,255,255,1
1058,387,255,255,1
1059,307,255,255,1
1060,295,255,255,1
1061,412,255,255,1
1062,246,255,255,1
1063,285,255,255,1
1064,21,255,255,1
1065,273,255,255,1
1066,235,255,255,1
1067,296,255,255,1
1068,297,255,255,1
1069,363,255,255,1
1070,298,255,255,1
1071,314,255,255,1
1072,219,255,255,1
1073,281,255,255,1
1074,266,255,255,1
1075,352,255,255,1
1076,303,255,255,1
1077,289,255,255,1
1078,280,255,255,1
1079,265,255,255,1
1080,498,255,255,1
1081,252,255,255,1
1082,247,255,255,1
1083,299,255,255,1
1084,419,255,255,1
1085,226,255,255,1
1086,416,255,255,1
1087,258,255,255,1
1088,275,255,255,1
1089,363,255,255,1
1090,174,255,255,1
1091,440,255,255,1
1092,274,255,255,1
1093,298,255,255,1
1094,480,255,255,1
1095,478,255,255,1
1096,302,255,255,1
1097,285,255,255,1
1098,498,255,255,1
1099,277,255,255,1
1100,240,255,255,1
1101,289,255,255,1
1102,266,255,255,1
1103,217,255,255,1
1104,299,255,255,1
1105,486,255,255,1
1106,440,255,255,1
1107,346,255,255,1
1108,382,255,255,1
1109,386,255,255,1
1110,305,255,255,1
1111,280,255,255,1
1112,271,255,255,1
1113,300,255,255,1
1114,445,255,255,1
1115,272,255,255,1
1116,263,255,255,1
1117,261,255,255,1
1118,481,255,255,1
1119,417,255,255,1
1120,280,255,255,1
1121,252,255,255,1
1122,267,255,255,1
1123,306,255,255,1
1124,257,255,255,1
1125,252,255,255,1
1126,301,255,255,1
1127,158,255,255,1
1128,320,255,255,1
1129,424,255,255,1
1130,308,255,255,1
1131,286,255,255,1
1132,387,255,255,1
1133,336,255,255,1
1134,487,255,255,1
1135,135,255,255,1
1136,271,255,255,1
1137,299,255,255,1
1138,413,255,255,1
1139,319,255,255,1
1140,315,255,255,1
1141,196,255,255,1
1142,253,255,255,1
1143,266,255,255,1
1144,249,255,255,1
1145,497,255,255,1
1146,24,255,255,1
1147,316,255,255,1
1148,244,255,255,1
1149,186,255,255,1
1150,354,255,255,1
1151,273,255,255,1
1152,81,255,255,1
1153,399,255,255,1
1154,412,255,255,1
1155,388,255,255,1
1156,298,255,255,1
1157,419,255,255,1
1158,172,255,255,1
1159,422,255,255,1
1160,266,255,255,1
1161,290,255,255,1
1162,278,255,255,1
1163,58,255,255,1
1164,325,255,255,1
1165,134,255,255,1
1166,383,255,255,1
1167,270,255,255,1
1168,449,255,255,1
1169,283,255,255,1
1170,402,255,255,1
1171,422,255,255,1
1172,227,255,255,1
1173,404,255,255,1
1174,446,255,255,1
1175,289,255,255,1
1176,363,255,255,1
1177,317,255,255,1
1178,121,255,255,1
1179,442,255,255,1
1180,311,255,255,1
1181,272,255,255,1
1182,299,255,255,1
1183,466,255,255,1
1184,182,255,255,1
1185,287,255,255,1
1186,258,255,255,1
1187,301,255,255,1
1188,75,255,255,1
1189,290,255,255,1
1190,55,255,255,1
1191,272,255,255,1
1192,298,255,255,1
1193,321,255,255,1
1194,384,255,255,1
1195,47,255,255,1
1196,292,255,255,1
1197,81,255,255,1
1198,500,255,255,1
1199,167,255,255,1
1200,299,255,255,1
1201,368,255,255,1
1202,364,255,255,1
1203,283,255,255,1
1204,296,255,255,1
1205,234,255,255,1
1206,77,255,255,1
1207,362,255,255,1
1208,261,255,255,1
1209,278,255,255,1
1210,281,255,255,1
1211,414,255,255,1
1212,269,255,255,1
1213,275,255,255,1
1214,433,255,255,1
1215,493,255,255,1
1216,276,255,255,1
1217,294,255,255,1
1218,282,255,255,1
1219,305,255,255,1
1220,391,255,255,1
1221,216,255,255,1
1222,316,255,255,1
1223,287,255,255,1
1224,469,255,255,1
1225,426,255,255,1
1226,185,255,255,1
1227,355,255,255,1
1228,306,255,255,1
1229,392,255,255,1
1230,326,255,255,1
1231,151,255,255,1
1232,361,255,255,1
1233,496,255,255,1
1234,293,255,255,1
1235,309,255,255,1
1236,447,255,255,1
1237,285,255,255,1
1238,293,255,255,1
1239,303,255,255,1
1240,304,255,255,1
1241,423,255,255,1
1242,347,255,255,1
1243,338,255,255,1
1244,275,255,255,1
1245,256,255,255,1
1246,328,255,255,1
1247,299,255,255,1
1248,318,255,255,1
1249,217,255,255,1
1250,335,255,255,1
1251,375,255,255,1
1252,118,255,255,1
1253,303,255,255,1
1254,194,255,255,1
1255,186,255,255,1
1256,372,255,255,1
1257,375,255,255,1
1258,296,255,255,1
1259,430,255,255,1
1260,306,255,255,1
1261,433,255,255,1
1262,260,255,255,1
1263,320,255,255,1
1264,321,255,255,1
1265,370,255,255,1
1266,155,255,255,1
1267,415,255,255,1
1268,329,255,255,1
1269,309,255,255,1
1270,430,255,255,1
1271,204,255,255,1
1272,303,255,255,1
1273,320,255,255,1
1274,287,255,255,1
1275,61,255,255,1
1276,347,255,255,1
1277,281,255,255,1
1278,248,255,255,1
1279,429,255,255,1
1280,365,255,255,1
1281,378,255,255,1
1282,317,255,255,1
1283,291,255,255,1
1284,119,255,255,1
1285,228,255,255,1
1286,276,255,255,1
1287,316,255,255,1
1288,319,255,255,1
1289,287,255,255,1
1290,266,255,255,1
1291,215,255,255,1
1292,318,255,255,1
1293,361,255,255,1
1294,417,255,255,1
1295,300,255,255,1
1296,306,255,255,1
1297,324,255,255,1
1298,308,255,255,1
1299,490,255,255,1
1300,321,255,255,1
1301,314,255,255,1
1302,231,255,255,1
1303,240,255,255,1
1304,319,255,255,1
1305,467,255,255,1
1306,296,255,255,1
1307,305,255,255,1
1308,361,255,255,1
1309,242,255,255,1
1310,324,255,255,1
1311,426,255,255,1
1312,295,255,255,1
1313,420,255,255,1
1314,464,255,255,1
1315,199,255,255,1
1316,269,255,255,1
1317,319,255,255,1
1318,372,255,255,1
1319,461,255,255,1
1320,407,255,255,1
1321,309,255,255,1
1322,199,255,255,1
1323,303,255,255,1
1324,320,255,255,1
1325,202,255,255,1
1326,338,255,255,1
1327,324,255,255,1
1328,460,255,255,1
1329,254,255,255,1
1330,309,255,255,1
1331,450,255,255,1
1332,39,255,255,1
1333,305,255,255,1
1334,44,255,255,1
1335,308,255,255,1
1336,318,255,255,1
1337,307,255,255,1
1338,321,255,255,1
1339,328,255,255,1
1340,439,255,255,1
1341,330,255,255,1
1342,324,255,255,1
1343,310,255,255,1
1344,378,255,255,1
1345,283,255,255,1
1346,354,255,255,1
1347,303,255,255,1
1348,408,255,255,1
1349,384,255,255,1
1350,278,255,255,1
1351,286,255,255,1
1352,454,255,255,1
1353,294,255,255,1
1354,186,255,255,1
